-9.25,-0.3484,0.11519,0.10799
-9,-0.3263,0.10991,0.1027
-8.75,-0.343,0.1094,0.10231
-8.5,-0.334,0.10549,0.09844
-8.25,-0.338,0.10368,0.09671
-8,-0.3862,0.10566,0.09896
-7.75,-0.3424,0.09889,0.09208
-7.5,-0.386,0.10017,0.09361
-7.25,-0.3576,0.09514,0.08853
-7,-0.3988,0.0959,0.08951
-6.75,-0.3812,0.09202,0.08562
-6.5,-0.4296,0.09289,0.08673
-6.25,-0.4111,0.08914,0.08297
-6,-0.4133,0.08662,0.08052
-5.75,-0.4339,0.08523,0.07926
-5.5,-0.449,0.08389,0.07801
-5.25,-0.4372,0.0808,0.07495
-5,-0.4394,0.0785,0.07271
-4.75,-0.4076,0.05599,0.04887
-4.5,-0.3867,0.05206,0.04465
-4.25,-0.363,0.04815,0.04039
-4,-0.3354,0.04419,0.03592
-3.75,-0.3092,0.04146,0.03274
-3.5,-0.28,0.03898,0.02952
-3.25,-0.2589,0.03764,0.0282
-3,-0.2321,0.03627,0.02629
-2.75,-0.2112,0.03545,0.02553
-2.5,-0.1884,0.0347,0.02464
-2.25,-0.1656,0.0341,0.02391
-2,-0.1432,0.03369,0.02338
-1.75,-0.1176,0.03335,0.02302
-1.5,-0.0654,0.03317,0.02283
-1.25,-0.0158,0.03295,0.02274
-1,0.0297,0.03258,0.02279
-0.75,0.0671,0.03154,0.02306
-0.5,0.1031,0.03143,0.02286
-0.25,0.1469,0.03237,0.02333
0,0.1804,0.03318,0.02384
0.25,0.2127,0.03403,0.02444
0.5,0.2476,0.0349,0.02509
0.75,0.29,0.03575,0.02574
1,0.3166,0.03657,0.02643
1.25,0.342,0.03746,0.02721
1.5,0.3718,0.03836,0.028
1.75,0.413,0.03909,0.02862
2,0.4299,0.04014,0.02962
2.25,0.4529,0.04117,0.03059
2.5,0.4924,0.04188,0.03125
2.75,0.5095,0.04305,0.03239
3,0.5279,0.04426,0.03358
3.25,0.5662,0.04496,0.03427
3.5,0.5815,0.04627,0.0356
3.75,0.5962,0.04773,0.03705
4,0.635,0.04832,0.03768
4.25,0.6464,0.04992,0.0393
4.5,0.6592,0.05153,0.04095
4.75,0.6949,0.05221,0.04167
5,0.7094,0.05375,0.04328
5.25,0.7169,0.05575,0.04532
5.5,0.7421,0.05688,0.04651
5.75,0.7723,0.05768,0.04742
6,0.7737,0.06012,0.04991
6.25,0.786,0.06203,0.05189
6.5,0.8168,0.06274,0.05272
6.75,0.8415,0.06375,0.05385
7,0.843,0.06634,0.05651
7.25,0.8513,0.0685,0.05876
7.5,0.8671,0.07004,0.0604
7.75,0.8865,0.07116,0.06166
8,0.9081,0.07193,0.06256
8.25,0.9309,0.07238,0.06316
8.5,0.9547,0.07259,0.06354
8.75,0.9857,0.07176,0.06289
9,1.2725,0.04155,0.03319
9.25,1.2985,0.04001,0.03163
9.5,1.3102,0.03953,0.03112
9.75,1.3184,0.03942,0.03081
10,1.3248,0.03991,0.03091
10.25,1.3265,0.0413,0.03202
10.5,1.3283,0.04312,0.03369
10.75,1.3401,0.04512,0.03548
11,1.3527,0.04742,0.03778
11.25,1.3686,0.04976,0.04008
11.5,1.3924,0.05231,0.04258
11.75,1.3929,0.0551,0.04569
12,1.4092,0.05796,0.0486
12.25,1.3997,0.06112,0.05211
12.5,1.4298,0.06425,0.05517
12.75,1.4065,0.06782,0.05914
13,1.381,0.07194,0.06362
13.25,1.352,0.07677,0.06876
13.5,1.3181,0.08256,0.07484
13.75,1.2801,0.08958,0.08211
14,1.2403,0.09792,0.09061